WORK_OBJECT_AVAILABLE_DATE|BO_Team|WORK_OBJECT_ID_Count|Team Location
2015-01-05|NEW_WORLD_BEREAVEMENTS|16|England
2015-01-05|OB_LIFE_BEREAVEMENTS|36|England
2015-01-05|OPAL_BEREAVEMENTS||England
2015-01-05|PCPS_PCRS|5|England
2015-01-05|PG_SERV|72|England
2015-01-05|POLICY HOLDER - LIFE (NW) MUMBAI|185|Offshore
2015-01-05|POLICY HOLDER - LIFE (OB) MUMBAI|619|Offshore
2015-01-05|PRUBOND|4|England
2015-01-05|PRUBOND NBS (DGT)|102|Offshore
2015-01-05|PRUBOND SERVICING & CLAIMS MUMBAI|967|Offshore
2015-01-05|PRUBONDS NEW BUSINESS|216|Offshore
2015-01-05|PRUFUND_BEREAVEMENTS|21|England
2015-01-05|RIG & PH PP MUMBAI|1457|Offshore
2015-01-05|RP|46|England
2015-01-05|RP_BEREAVEMENTS||England
2015-01-05|RPPAP MUMBAI|67|Offshore
2015-01-05|RPTB|42|England
2015-01-05|SCHEME NORTH MUMBAI|100|Offshore
2015-01-05|SERVICING|245|Offshore
2015-01-05|SHP_CLAIMS|36|England
2015-01-05|SHP_GPP_SERVICING|218|England
2015-01-05|SHP_MPP_FC|169|England
2015-01-05|SHP_MPP_REVISIONS|34|England
2015-01-05|TEACHERS||England
2015-01-06|ADVISER - LIFE (CH) MUMBAI|14|Offshore
2015-01-06|ANNUITIES SERVICING|270|Offshore
2015-01-06|AVC MUMBAI|1582|Offshore
2015-01-06|AVC_CLAIMS|12|England
2015-01-06|AVC_REVISIONS|112|England
2015-01-06|AVC_SERVICING|122|England
2015-01-06|BEREAVEMENTS|298|Offshore
2015-01-06|CDR DSS|27|Offshore
2015-01-06|CDT MUMBAI|497|Offshore
2015-01-06|CORPORATE PENSIONS|68|Offshore
2015-01-06|CORPORATE_PENSIONS|16|England
2015-01-06|DA ADMIN|72|Offshore
2015-01-06|EPP_MK1|30|England
2015-01-06|EPP_MK2-4|12|England
2015-01-06|IB PAY & SERVICING MUMBAI|352|Offshore
2015-01-06|IB_BEREAVEMENTS|186|England
2015-01-06|ILLUSTRATIONS MUMBAI|796|Offshore
